id,title,filtered_words,label
R129,New Report on Election,"['base', 'clearly', 'wish.', 'career', 'leave', 'human', 'tree', 'myself.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R227,New Report on Climate Change,"['figure', 'ball', 'save', 'life', 'computer', 'population', 'top.', 'fast', 'bill', 'simply', 'box', 'partner', 'be.', 'great', 'offer', 'look', 'federal', 'want.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F231,Aliens Confirmed by Sources,"['site', 'woman', 'office', 'heavy', 'similar', 'wait', 'wait', 'level.', 'blue', 'way', 'job.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R066,New Report on Policy,"['true', 'find', 'college', 'interview', 'avoid.', 'campaign', 'identify.', 'everyone', 'story', 'doctor.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
F095,Mind Control Confirmed by Sources,"['watch', 'lot', 'full', 'wind', 'tough', 'east.', 'management', 'reason', 'quite', 'hundred', 'play.', 'certain', 'lead', 'international.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
R174,New Report on Policy,"['light', 'public', 'continue.', 'answer', 'interest', 'drive', 'laugh', 'response', 'almost.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R201,New Report on Public Health,"['newspaper', 'southern', 'individual', 'federal', 'exactly.', 'security', 'ability', 'bring', 'safe', 'box', 'television.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
R072,New Report on Education,"['cover', 'much', 'short', 'civil', 'think', 'already', 'stuff.', 'number', 'claim', 'heart', 'true.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R064,New Report on Research,"['dinner', 'rock', 'politics', 'class.', 'behavior', 'option', 'language', 'paper', 'rule', 'management', 'anything.', 'population', 'series', 'candidate', 'focus', 'along', 'analysis.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F037,Miracle Drug Confirmed by Sources,"['dog', 'century', 'easy.', 'anyone', 'voice', 'successful', 'plant', 'sister', 'year.', 'right', 'street', 'southern', 'customer', 'glass', 'message', 'left', 'from.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
R170,New Report on Technology Breakthrough,"['military', 'seven', 'girl.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']",REAL
F110,Celebrity Scandal Confirmed by Sources,"['form', 'age', 'activity', 'four.', 'explain', 'computer', 'professional', 'prove', 'article', 'person.', 'second', 'moment', 'benefit', 'develop', 'old', 'seven.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
F048,Secret Cure Confirmed by Sources,"['simply', 'home', 'writer', 'compare', 'education', 'never.', 'benefit', 'particular', 'available', 'national', 'respond.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F082,Hoax Confirmed by Sources,"['religious', 'physical', 'behind.', 'center', 'piece', 'matter', 'include', 'impact', 'cultural.', 'almost', 'person', 'subject', 'citizen.', 'political', 'eye', 'democratic', 'might.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F187,Miracle Drug Confirmed by Sources,"['picture', 'attack', 'often', 'service', 'central', 'garden.', 'speak', 'once.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F027,Miracle Drug Confirmed by Sources,"['tax', 'discussion', 'benefit', 'human.', 'money', 'reality', 'grow', 'never', 'participant.', 'save', 'establish', 'identify', 'identify', 'before.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F202,Hoax Confirmed by Sources,"['entire', 'nice', 'even', 'hand.', 'throw', 'bar', 'color', 'adult', 'effort.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F197,Secret Cure Confirmed by Sources,"['charge', 'eat', 'dark', 'ask', 'strong.', 'american', 'remember', 'also.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
R128,New Report on Climate Change,"['approach', 'walk', 'southern', 'range', 'store.', 'letter', 'star', 'turn.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F157,Government Cover-Up Confirmed by Sources,"['nothing', 'father', 'huge', 'probably', 'action', 'law.', 'somebody', 'past', 'dream', 'receive', 'base.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F117,Hoax Confirmed by Sources,"['someone', 'health', 'low', 'political', 'student.', 'life', 'deal', 'trouble', 'us', 'create', 'big.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F173,Secret Cure Confirmed by Sources,"['alone', 'operation', 'west', 'water.', 'control', 'admit', 'year', 'environment', 'culture', 'season', 'form.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F024,Aliens Confirmed by Sources,"['truth', 'order', 'walk', 'ground', 'force', 'mrs.', 'professional', 'feel', 'term', 'small', 'speak.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
F096,Celebrity Scandal Confirmed by Sources,"['oil', 'firm', 'star', 'front', 'kind', 'tend', 'according.', 'road', 'within', 'operation', 'my.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
R247,New Report on Public Health,"['produce', 'issue', 'face', 'agency.', 'none', 'head', 'manage', 'institution', 'yeah.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
F226,Government Cover-Up Confirmed by Sources,"['tonight', 'make', 'director', 'natural', 'treat.', 'appear', 'establish', 'night', 'single', 'age', 'hot', 'market', 'less.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F100,Flat Earth Confirmed by Sources,"['standard', 'show', 'grow.', 'response', 'word', 'report', 'say', 'doctor', 'scientist.', '—', 'shocking', 'claims', 'flat', 'earth', 'surface', 'internet.']",FAKE
F246,Government Cover-Up Confirmed by Sources,"['event', 'stock', 'adult', 'stop', 'sometimes', 'once.', 'ok', 'bag', 'oil.', 'project', 'town', 'west', 'notice.', 'agency', 'election', 'movie', 'water', 'difficult', 'account', 'shake.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F183,Aliens Confirmed by Sources,"['long', 'whose', 'eye', 'huge.', 'conference', 'father', 'game', 'total', 'field', 'same.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R063,New Report on Policy,"['ok', 'exist', 'receive', 'everyone', 'law', 'thing', 'less.', 'star', 'tend', 'military', 'human', 'class.', 'picture', 'republican', 'deep', 'stuff.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R005,New Report on Election,"['despite', 'indicate', 'clearly', 'father', 'night', 'nation', 'lead', 'station.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R084,New Report on Election,"['clear', 'color', 'focus', 'us', 'season', 'accept.', 'protect', 'artist', 'perform', 'month', 'peace.', 'push', 'seven', 'mr', 'conference.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R124,New Report on Education,"['recognize', 'figure', 'sell', 'ago', 'officer', 'accept', 'wall', 'front.', 'long', 'hold', 'head.', 'especially', 'former', 'across', 'toward.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R118,New Report on Research,"['everything', 'business', 'discover', 'must', 'need.', 'claim', 'international', 'reduce', 'thus', 'kind', 'card.', 'build', 'arrive', 'perhaps.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F001,Aliens Confirmed by Sources,"['half', 'interest', 'goal', 'prove', 'stay', 'understand.', 'court', 'left', 'medical', 'indeed', 'fact', 'government.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
F007,Immortal Jellyfish Confirmed by Sources,"['understand', 'writer', 'thought', 'ready', 'poor', 'reality.', 'mr', 'since', 'believe', 'industry.', '—', 'shocking', 'claims', 'immortal', 'jellyfish', 'surface', 'internet.']",FAKE
F046,Mind Control Confirmed by Sources,"['race', 'thousand', 'action', 'pull', 'today', 'understand', 'race.', 'past', 'first', 'represent', 'doctor', 'environmental', 'suggest', 'fish', 'along.', 'second', 'year', 'tv', 'nothing', 'realize.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
R103,New Report on Research,"['city', 'congress', 'street', 'exactly.', 'significant', 'five', 'kind.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
R037,New Report on Budget Report,"['address', 'increase', 'world', 'simply', 'than.', 'watch', 'wide', 'put', 'purpose', 'form', 'factor.', 'model', 'town', 'magazine', 'although', 'opportunity', 'responsibility.', 'experts', 'discuss', 'ongoing', 'developments', 'budget', 'report.']",REAL
F193,Secret Cure Confirmed by Sources,"['exactly', 'modern', 'cold', 'religious', 'pull', 'economic.', 'outside', 'approach', 'growth', 'between.', 'think', 'wait', 'president.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
R166,New Report on Election,"['party', 'lot', 'find', 'support.', 'defense', 'watch', 'recognize', 'amount', 'vote.', 'method', 'thought', 'include', 'yes', 'today', 'southern.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
F017,Immortal Jellyfish Confirmed by Sources,"['wrong', 'avoid', 'watch', 'her.', 'economic', 'approach', 'loss', 'green', 'write', 'leader.', '—', 'shocking', 'claims', 'immortal', 'jellyfish', 'surface', 'internet.']",FAKE
R008,New Report on Economic Growth,"['effect', 'source', 'remain', 'trial', 'size', 'officer', 'religious.', 'customer', 'final', 'present', 'job', 'tree', 'house.', 'experts', 'discuss', 'ongoing', 'developments', 'economic', 'growth.']",REAL
F071,Celebrity Scandal Confirmed by Sources,"['company', 'technology', 'wall.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
F028,Mind Control Confirmed by Sources,"['seek', 'yes', 'tell', 'interest.', 'bag', 'policy', 'voice', 'thousand.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
F227,Immortal Jellyfish Confirmed by Sources,"['sell', 'return', 'heavy.', 'bar', 'source', 'become.', '—', 'shocking', 'claims', 'immortal', 'jellyfish', 'surface', 'internet.']",FAKE
R200,New Report on Public Health,"['upon', 'vote', 'american', 'college.', 'republican', 'analysis', 'common', 'ahead', 'personal', 'seven', 'bank.', 'star', 'per', 'various', 'lose.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
R225,New Report on Climate Change,"['rock', 'foreign', 'everything', 'first.', 'owner', 'political', 'civil', 'song.', 'name', 'away', 'world', 'speech', 'school', 'now.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
R062,New Report on Budget Report,"['require', 'partner', 'movie.', 'design', 'security', 'talk', 'kitchen', 'instead', 'contain.', 'party', 'guess', 'fight', 'look', 'drug', 'election.', 'experts', 'discuss', 'ongoing', 'developments', 'budget', 'report.']",REAL
F033,Hoax Confirmed by Sources,"['tell', 'low', 'protect.', 'toward', 'serve', 'exist', 'imagine', 'social', 'court.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F012,Hoax Confirmed by Sources,"['morning', 'meeting', 'account', 'discuss', 'whatever.', 'father', 'truth', 'wonder', 'matter.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
R121,New Report on Research,"['fast', 'especially', 'religious', 'analysis.', 'enjoy', 'hit', 'guy', 'wife', 'machine', 'get', 'market.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F210,Aliens Confirmed by Sources,"['meeting', 'person', 'reason', 'list', 'serious', 'interest', 'possible.', 'give', 'growth', 'different', 'number', 'be.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
F151,Hoax Confirmed by Sources,"['quite', 'day', 'else', 'religious', 'current.', 'thus', 'blue', 'toward', 'pick.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F099,Secret Cure Confirmed by Sources,"['along', 'cup', 'night', 'write', 'yet', 'organization', 'number.', 'may', 'amount', 'usually', 'make.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
R090,New Report on Technology Breakthrough,"['true', 'state', 'decision.', 'machine', 'condition', 'everybody', 'only.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']",REAL
R125,New Report on Budget Report,"['hit', 'card', 'guess', 'value.', 'congress', 'clearly', 'nice', 'interest', 'western', 'figure', 'leader.', 'experts', 'discuss', 'ongoing', 'developments', 'budget', 'report.']",REAL
R091,New Report on Climate Change,"['pretty', 'key', 'natural', 'local', 'size', 'glass.', 'stay', 'eye', 'team.', 'win', 'college', 'expert', 'same.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
R157,New Report on Climate Change,"['help', 'financial.', 'business', 'break', 'mouth', 'become', 'street', 'discover', 'organization', 'exactly.', 'unit', 'price', 'drop', 'better', 'plan.', 'organization', 'exactly', 'eye', 'performance', 'ability.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F098,Miracle Drug Confirmed by Sources,"['phone', 'attorney', 'game', 'eye', 'goal', 'remember.', 'pattern', 'cell', 'get', 'however', 'seek', 'federal.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F164,Immortal Jellyfish Confirmed by Sources,"['area', 'whole', 'year.', 'purpose', 'pick', 'plan', 'dog', 'foreign', 'brother.', '—', 'shocking', 'claims', 'immortal', 'jellyfish', 'surface', 'internet.']",FAKE
