id,title,text,label
R129,New Report on Election,Base clearly wish. Career leave human tree myself. Experts discuss the ongoing developments in election.,REAL
R227,New Report on Climate Change,Figure ball save life computer population top. Fast bill simply box partner be. Great the or offer look federal want. Experts discuss the ongoing developments in climate change.,REAL
F231,Aliens Confirmed by Sources,Site woman office heavy similar wait wait level. Blue way them your job. This just in — shocking claims about aliens surface on the internet.,FAKE
R066,New Report on Policy,True find college interview avoid. Only campaign identify. Everyone and story doctor. Experts discuss the ongoing developments in policy.,REAL
F095,Mind Control Confirmed by Sources,Watch lot full wind tough east. Management but reason quite hundred play. Certain lead international. This just in — shocking claims about mind control surface on the internet.,FAKE
R174,New Report on Policy,Light public continue. Answer interest drive laugh response almost. Experts discuss the ongoing developments in policy.,REAL
R201,New Report on Public Health,Newspaper southern individual federal exactly. Security ability bring safe box television. Experts discuss the ongoing developments in public health.,REAL
R072,New Report on Education,Cover much on short civil think already stuff. Number claim heart true. Experts discuss the ongoing developments in education.,REAL
R064,New Report on Research,Who dinner rock politics what class. Behavior option language paper rule management anything. Population series candidate focus along analysis. Experts discuss the ongoing developments in research.,REAL
F037,Miracle Drug Confirmed by Sources,Dog century for easy. Anyone voice successful plant sister year. Right street southern customer glass message left from. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R170,New Report on Technology Breakthrough,Military seven girl. Experts discuss the ongoing developments in technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,Each form age could activity four. Explain computer professional prove article person. Second each moment benefit in develop old seven. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F048,Secret Cure Confirmed by Sources,No simply home writer compare education never. Benefit particular available there national respond. This just in — shocking claims about secret cure surface on the internet.,FAKE
F082,Hoax Confirmed by Sources,Religious physical behind. Center piece matter include impact cultural. Almost person subject citizen. Political eye democratic might. This just in — shocking claims about hoax surface on the internet.,FAKE
F187,Miracle Drug Confirmed by Sources,Picture attack often service central garden. At speak your once. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F027,Miracle Drug Confirmed by Sources,Tax discussion itself benefit now human. Money against reality grow never his participant. Save establish identify identify before. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F202,Hoax Confirmed by Sources,Entire nice even hand. Throw bar color adult effort. This just in — shocking claims about hoax surface on the internet.,FAKE
